Location,Type,Used (GB),NLE (GB),ToBeDeleted (GB),Total storage (GB)
02 South Park Elem,SchoolFS,169.34,2.33,0,167.01
04 Vic West,SchoolFS,188.85,.13,0,188.72
05 George Jay,SchoolFS,760.46,.99,3.42,756.05
06 Victor,SchoolFS,83.69,.30,0,83.39
07 Sir James Douglas,SchoolFS,380.27,.19,0,380.08
08 Sundance-Bank,SchoolFS,3.67,0,0,3.67
10 Craigflower,SchoolFS,246.23,16.69,0,229.54
11 SJ Burnside,SchoolFS,452.31,.74,6.29,445.28
12 Margaret Jenkins,SchoolFS,662.13,50.00,0,612.13
13 Oaklands Elementary,SchoolFS,787.79,.32,.84,786.63
15 Monterey,SchoolFS,496.29,.06,3.56,492.67
16 Quadra,SchoolFS,334.47,.07,.19,334.21
18 Victoria High,SchoolFS,2409.99,5.48,17.03,2387.48
19 Cloverdale,SchoolFS,475.40,89.02,0,386.38
20 Tillicum Community School,SchoolFS,431.16,4.21,0,426.95
21 Willows,SchoolFS,698.56,50.83,0,647.73
24 Oak Bay High,SchoolFS,2485.30,5.24,654.34,1825.72
25 Cedar Hill Middle,SchoolFS,602.76,0,0,602.76
27 McKenzie,SchoolFS,252.61,0,.02,252.59
28 Doncaster,SchoolFS,441.49,16.76,0,424.73
29 View Royal,SchoolFS,480.83,.35,0,480.48
